nama_entitas;flag;tipe_entitas
DIT ASSELTENG;1;Dalam Negeri
DIT TIMTENG;1;Dalam Negeri
DIT AFRIKA;1;Dalam Negeri
DIT KSIA ASPASAF;1;Dalam Negeri
DITJEN AMEROP;1;Dalam Negeri
SET DITJEN AMEROP;1;Dalam Negeri
DIT AMERIKA I;1;Dalam Negeri
DIT AMERIKA II;1;Dalam Negeri
DIT EROPA I;1;Dalam Negeri
DIT EROPA II;1;Dalam Negeri
DIT KSIA AMEROP;1;Dalam Negeri
DITJEN KS ASEAN;1;Dalam Negeri
SET DITJEN KS ASEAN;1;Dalam Negeri
DIT KS POLKAM ASEAN;1;Dalam Negeri
DIT KS EKONOMI ASEAN;1;Dalam Negeri
DIT KS SOSBUD ASEAN;1;Dalam Negeri
DIT KS EKSTERNAL ASEAN;1;Dalam Negeri
DITJEN KS MULTILATERAL;1;Dalam Negeri
SET DITJEN KS MULTILATERAL;1;Dalam Negeri
DIT KP INTERNASIONAL;1;Dalam Negeri
DIT HAM DAN MIGRASI;1;Dalam Negeri
DIT PELH;1;Dalam Negeri
DIT SOSBUD DAN KEMSTRA;1;Dalam Negeri
DITJEN HPI;1;Dalam Negeri
SET DITJEN HPI;1;Dalam Negeri
DIT HPK;1;Dalam Negeri
DIT HPE;1;Dalam Negeri
DIT HP SOSBUD;1;Dalam Negeri
DIT HP POLKAM;1;Dalam Negeri
DITJEN HEKSP;1;Dalam Negeri
SET DITJEN HEKSP;1;Dalam Negeri
DIT PI;1;Dalam Negeri
DIT INKRAF;1;Dalam Negeri
DIT SDI;1;Dalam Negeri
DIT KSPI;1;Dalam Negeri
DITJEN IDP;1;Dalam Negeri
SET DITJEN IDP;1;Dalam Negeri
DIT INFOMED;1;Dalam Negeri
DIT DIPLIK;1;Dalam Negeri
DIT UPORA;1;Dalam Negeri
DITJEN PROTKONS;1;Dalam Negeri
SET DITJEN PROTKONS;1;Dalam Negeri
DIT PROTOKOL;1;Dalam Negeri
DIT KONSULER;1;Dalam Negeri
DIT FASDIP;1;Dalam Negeri
DIT PWNI;1;Dalam Negeri
ITJEN;1;Dalam Negeri
SET ITJEN;1;Dalam Negeri
ITWIL I;1;Dalam Negeri
ITWIL II;1;Dalam Negeri
ITWIL III;1;Dalam Negeri
ITWIL IV;1;Dalam Negeri
BSKLN;1;Dalam Negeri
SET BSKLN;1;Dalam Negeri
PUSAT SKK ASPASAF;1;Dalam Negeri
PUSAT SKK AMEROP;1;Dalam Negeri
PUSAT SK MULTILATERAL;1;Dalam Negeri
PUSAT SK IKAD;1;Dalam Negeri
